Countries;Energy (kcal/day);Protein (g/day);Fats (g/day);Carbohydrates (g/day);Animal Products + (kcal/day);Animal Fats (kcal/day);Bovine Meat (kcal/day);Butter, Ghee (kcal/day);Cheese (kcal/day);Eggs (kcal/day);Fats, Animals, Raw (kcal/day);Fish, Seafood (kcal/day);Freshwater Fish (kcal/day);Honey (kcal/day);Meat (kcal/day);Milk - Excluding Butter (kcal/day);Milk, Whole (kcal/day);Mutton & Goat Meat (kcal/day);Offals, Edible (kcal/day);Pelagic Fish (kcal/day);Pigmeat (kcal/day);Poultry Meat (kcal/day);Vegetal Products + (kcal/day);Alcoholic Beverages (kcal/day);Apples (kcal/day);Bananas (kcal/day);Beans (kcal/day);Cereals - Excluding Beer (kcal/day);Coconut Oil (kcal/day);Coffee (kcal/day);Fruits - Excluding Wine (kcal/day);Nuts (kcal/day);Olive Oil (kcal/day);Palm Oil (kcal/day);Potatoes (kcal/day);Pulses (kcal/day);Rice (Milled Equivalent) (kcal/day);Rice (Paddy Equivalent) (kcal/day);Roots & Tuber Dry Equiv (kcal/day);Soyabean Oil (kcal/day);Starchy Roots (kcal/day);Sugar & Sweeteners (kcal/day);Sugar (Raw Equivalent) (kcal/day);Sugar, Raw Equivalent (kcal/day);Sugar, Refined Equiv (kcal/day);Vegetable Oils (kcal/day);Vegetables (kcal/day);Wheat (kcal/day);Wine (kcal/day);
Albania;2860;96;86;425.5;813;49;62;11;50;22;38;8;1;2;196;524;465;33;13;5;52;48;2059;35;17;11;28;1299;0;1;129;8;17;0;57;30;68;68;57;2;57;193;187;191;187;174;94;1166;6;
Argentina;2980;94;100;426;823;72;342;28;90;24;42;10;1;1;475;222;127;8;17;1;34;83;2135;102;26;19;1;1050;1;1;86;2;2;0;80;9;41;41;100;43;100;406;337;405;337;311;51;914;59;
Australia;3120;107;134;371.5;1033;124;142;62;107;23;61;30;3;8;492;331;172;97;30;7;107;143;2100;152;18;20;1;719;16;3;121;31;34;112;85;9;91;91;87;17;87;423;407;415;407;435;67;559;39;
Austria;3740;111;162;459.5;1219;320;59;102;193;49;200;21;6;12;488;336;131;6;2;9;358;60;2512;278;67;15;3;891;11;7;168;39;13;15;113;6;51;51;113;89;113;437;404;424;404;442;61;617;55;
Bangladesh;2200;48;25;445.75;65;5;5;3;0;3;2;19;17;0;12;22;21;3;1;0;0;3;2127;0;0;6;2;1802;5;0;13;2;0;52;36;40;1598;1598;42;48;42;59;29;59;29;131;10;180;0;
Belarus;2960;87;99;430.25;766;140;103;65;18;47;71;24;2;2;295;242;168;1;15;10;154;34;2118;108;31;3;0;1017;7;0;54;12;0;0;317;0;52;52;317;20;317;288;279;285;279;237;62;608;6;
Belgium;3640;92;162;453.5;1120;404;54;119;165;45;246;0;0;4;286;376;117;13;7;0;137;74;2513;204;21;1;6;783;78;8;72;47;29;61;151;19;43;43;151;112;151;522;488;517;488;545;124;718;54;
Bolivia;2220;57;58;367.5;397;73;113;1;6;11;72;4;1;0;247;47;36;14;12;2;49;66;1822;39;3;88;2;830;0;3;166;28;0;0;102;24;207;207;168;11;168;282;280;282;280;207;46;387;0;
Bosnia and Herzegovina;2710;72;58;475;344;24;32;10;36;13;12;7;1;2;84;206;162;5;7;4;29;17;2323;165;15;16;31;1278;0;3;75;12;1;0;134;46;12;12;134;9;134;251;237;249;237;153;107;529;3;
Brazil;3060;83;93;472.75;675;55;130;9;2;24;46;10;4;0;378;198;192;3;7;1;102;141;2470;73;4;53;162;995;0;2;112;2;2;20;28;165;371;371;129;251;129;550;529;549;529;321;29;388;2;
Bulgaria;2850;89;95;409.75;683;75;38;6;25;40;68;6;0;0;295;246;214;28;20;4;160;65;2201;146;6;9;26;1119;0;3;64;6;2;0;60;39;41;41;60;46;60;283;271;283;271;347;88;956;6;
Cameroon;2270;59;46;405;137;7;30;0;0;2;6;25;6;1;70;28;27;9;4;12;9;11;2148;46;0;27;78;931;2;0;152;21;0;120;12;130;206;206;400;24;400;103;99;102;99;197;45;130;0;
Canada;3590;106;147;460.75;948;256;105;58;117;44;155;37;7;7;376;228;75;7;4;16;121;142;2656;124;14;21;16;851;5;5;113;24;19;1;144;65;63;63;146;135;146;587;489;579;489;557;88;642;18;
Chile;2860;80;85;443.75;645;65;108;18;37;19;47;22;0;0;365;161;109;2;7;13;143;110;2227;70;1;15;21;1142;0;0;55;7;5;0;102;37;72;72;104;118;104;450;436;450;436;257;83;886;34;
China;2940;82;90;450.5;644;46;27;1;1;74;44;35;20;1;440;30;28;15;10;0;343;51;2296;67;12;7;1;1381;2;0;56;6;0;37;68;11;790;790;174;125;174;79;73;78;73;273;168;448;1;
Colombia;2580;60;65;438.75;403;31;88;8;11;22;22;9;3;0;158;174;163;1;7;3;16;51;2163;40;1;2;29;853;0;2;187;0;0;136;93;65;318;318;192;86;192;477;286;476;286;273;29;198;0;
Costa Rica;2850;71;78;466;549;78;48;24;13;34;53;10;4;3;137;283;269;0;5;3;28;60;2262;73;4;0;92;947;1;2;151;3;4;123;35;96;528;528;55;150;55;551;508;548;508;297;30;352;2;
Cyprus;3240;105;132;408;978;58;36;19;50;50;36;47;1;10;445;358;296;86;19;16;184;132;2266;129;9;20;19;773;0;6;132;44;63;0;68;39;82;82;73;103;73;453;418;442;418;353;112;675;40;
Czech Republic;3240;93;115;458.25;823;171;24;90;132;53;71;19;3;4;309;254;52;1;13;6;188;82;2484;285;26;15;1;957;0;4;89;15;4;8;123;25;47;47;123;86;123;481;451;476;451;369;48;722;21;
Denmark;3450;110;140;437.5;1260;413;81;32;226;71;195;52;5;3;450;265;27;6;8;29;290;69;2212;227;37;24;1;829;0;10;137;35;13;0;137;10;34;34;137;83;137;510;437;507;437;180;74;619;62;
Dominican Republic;2290;49;78;348;348;35;48;8;5;20;27;17;0;2;139;130;113;0;5;7;27;62;1932;102;0;63;54;690;30;5;162;0;2;101;10;79;391;391;73;174;73;388;383;385;383;340;26;197;1;
Ecuador;2710;57;99;397.75;507;86;93;8;7;15;77;10;0;0;210;174;167;3;9;8;39;70;2134;27;5;121;13;829;3;6;259;0;1;317;48;39;438;438;68;168;68;361;351;361;351;502;18;259;0;
Egypt;3350;93;58;614;273;52;35;45;48;10;7;25;13;0;86;93;40;6;5;6;0;36;3081;1;8;18;6;2134;2;0;154;4;0;0;38;90;466;466;48;42;48;286;275;285;275;143;107;1046;0;
Estonia;3160;90;96;484;852;120;57;79;84;40;26;45;7;4;276;358;241;2;10;19;134;82;2369;207;27;15;2;873;0;7;88;12;1;0;215;8;27;27;215;71;215;595;558;591;558;191;70;478;13;
Ethiopia;1860;54;20;366;96;13;29;5;0;1;7;0;0;4;44;33;27;6;3;0;0;2;1761;12;0;1;11;1269;0;2;13;7;2;9;8;113;4;4;230;6;230;44;40;40;40;36;10;364;0;
Fiji;2960;74;97;447.75;498;126;51;94;3;9;30;65;1;0;221;62;55;73;12;21;45;51;2476;25;3;11;1;1181;35;0;38;1;0;2;41;102;429;429;233;205;233;358;355;357;355;292;35;730;1;
Finland;3150;102;127;399.75;1164;131;90;78;164;32;17;59;14;4;497;438;218;2;4;34;348;53;1978;183;20;19;0;863;0;13;91;6;6;1;134;11;43;43;134;0;134;330;308;326;308;254;47;630;18;
France;3640;118;170;409.5;1333;285;84;158;255;59;89;46;6;3;527;388;104;21;26;17;301;102;2290;169;13;4;9;886;0;6;88;23;39;12;116;19;57;57;116;42;116;382;356;379;356;440;103;732;100;
Gambia;2280;52;77;344.75;140;7;11;4;0;2;2;47;3;0;23;56;42;3;1;33;2;3;2147;27;0;0;0;1207;0;0;4;2;0;110;5;51;379;379;21;171;21;269;261;269;261;431;14;233;0;
Georgia;2520;71;52;442;456;34;64;10;0;22;24;1;0;3;136;253;251;11;7;1;39;20;2189;19;15;1;0;1445;0;0;74;26;0;0;108;0;0;0;108;0;108;329;324;326;324;112;42;1007;11;
Germany;3490;100;141;455.25;1070;324;33;133;128;46;152;25;4;9;358;307;122;5;7;9;253;52;2413;242;45;18;0;885;70;7;135;36;10;0;131;6;41;41;131;117;131;441;373;432;373;401;65;643;44;
Ghana;2650;55;38;522;120;4;6;2;0;2;2;61;7;0;37;11;6;4;3;45;6;6;2559;21;0;0;0;791;9;0;258;4;0;68;0;5;196;196;1131;5;1131;71;70;71;70;141;24;106;0;
Greece;3680;117;145;476.75;828;45;54;22;221;34;12;38;4;11;308;389;162;67;12;9;118;63;2836;134;16;10;29;1083;0;6;187;63;378;0;118;44;83;83;118;13;118;332;311;320;311;604;159;968;50;
Guatemala;2210;56;49;386.25;201;22;21;2;12;22;20;3;1;0;84;66;51;0;2;1;10;50;2025;15;3;2;67;1186;0;0;62;11;1;27;13;93;52;52;15;94;15;396;378;396;378;150;42;235;0;
Haiti;2090;47;38;390;162;27;30;0;0;1;27;5;0;0;86;36;35;4;6;3;32;15;1945;88;0;48;56;1050;0;4;123;0;0;8;2;105;491;491;164;81;164;244;221;243;221;104;17;324;0;
Hungary;3500;95;149;444.75;1152;453;14;19;93;63;388;8;3;3;390;228;132;1;7;3;248;121;2399;217;29;17;6;949;0;4;84;4;2;38;126;29;50;50;126;34;126;445;344;441;344;388;99;888;62;
Iceland;3240;124;130;393.5;1340;144;77;53;162;30;40;140;9;2;537;464;177;144;23;20;217;68;1934;111;17;23;6;722;12;10;103;8;17;0;85;9;35;35;86;155;86;510;435;507;435;208;44;644;18;
India;2440;57;52;436;202;56;8;55;0;6;1;8;5;0;21;107;79;2;1;1;4;5;2270;12;1;21;30;1452;9;0;48;5;0;83;31;110;705;705;48;40;48;234;175;234;175;240;44;542;0;
Indonesia;2880;64;61;518.75;137;9;10;1;0;15;7;42;8;0;54;10;7;2;4;23;22;18;2753;1;0;29;12;1768;28;2;63;2;0;190;8;12;1392;1392;203;1;203;158;148;158;148;267;26;124;0;
Iran;360.2;3090;83;61;552.25;297;49;29;49;12;27;0;11;3;3;114;87;59;42;7;6;0;41;2807;0;39;6;20;1832;0;0;225;40;0;0;94;45;341;341;94;145;94;258;254;254;254;200;98;1468;Iran, Islamic Republic of
Israel;3680;124;149;460.75;756;49;115;15;103;36;12;30;6;3;393;222;118;7;23;12;27;242;2797;36;10;22;13;1154;3;4;166;40;37;86;84;53;88;88;88;355;88;368;355;364;355;653;124;925;1;
Italy;3670;113;157;451.25;946;162;137;56;180;43;87;45;3;2;405;276;56;9;11;15;188;53;2728;139;13;13;16;1170;14;7;160;37;318;16;72;52;61;61;73;99;73;301;291;299;291;653;107;1075;95;
Jamaica;2680;68;75;433.25;401;56;45;14;15;6;41;33;3;3;230;67;30;14;8;17;16;152;2288;26;1;50;10;924;45;0;164;1;0;0;12;27;278;278;176;249;176;506;464;503;464;298;47;586;0;
Japan;2770;92;86;407;568;37;26;14;20;75;12;172;14;2;165;105;77;1;8;57;84;52;2199;140;11;11;15;1065;9;4;52;10;5;15;41;17;610;610;66;137;66;271;182;268;182;345;74;363;3;
Kenya;2150;59;49;368.25;278;10;49;1;0;4;8;7;6;5;77;172;170;10;6;1;6;5;1876;17;0;9;102;1059;6;0;100;4;0;138;60;136;65;65;146;11;146;196;189;190;189;175;20;195;0;
Lesotho;2630;73;37;501.25;113;8;25;0;1;2;8;0;0;0;71;26;25;10;4;0;13;10;2512;30;3;2;45;2066;0;0;18;0;0;0;89;68;10;10;89;0;89;154;150;154;150;72;5;320;0;
Liberia;1940;32;52;336;52;2;2;0;0;3;2;7;2;0;34;3;3;1;0;4;14;9;1877;37;0;49;0;745;0;1;81;4;0;299;0;24;477;477;482;8;482;46;45;46;45;402;16;211;0;
Madagascar;2040;47;29;397.75;171;9;32;0;0;2;9;12;3;1;89;51;51;2;5;3;34;19;1884;17;0;24;32;1174;11;3;58;1;0;4;15;39;1000;1000;395;56;395;78;74;76;74;86;11;38;1;
Malawi;2140;55;33;405.75;57;4;6;0;0;4;4;6;6;0;32;7;7;2;0;0;19;4;2067;17;0;11;44;1276;2;0;67;0;2;3;163;120;50;50;324;25;324;95;95;95;95;71;11;29;0;
Malaysia;2870;75;84;453.5;514;21;22;6;2;43;14;94;6;0;235;108;65;3;10;39;81;128;2352;6;3;28;14;1296;27;0;72;7;0;147;8;24;690;690;56;29;56;396;388;396;388;366;31;467;0;
Malta;3530;118;110;517;974;173;66;23;151;49;148;81;3;0;317;342;165;13;9;53;144;80;2546;86;15;0;18;1314;1;3;131;21;15;0;107;32;44;44;107;55;107;462;444;462;444;162;102;1224;6;
Mauritius;2960;80;80;480;410;26;30;17;24;8;4;36;6;0;154;177;104;21;5;5;19;79;2559;45;7;13;18;1372;4;1;45;2;6;11;35;92;593;593;36;263;36;431;425;430;425;400;50;726;2;
Mexico;3180;91;89;503.75;610;68;58;12;24;56;54;21;2;2;278;168;138;6;15;12;113;96;2560;55;7;30;108;1430;15;2;117;15;2;44;30;124;55;55;33;102;33;472;461;469;461;234;38;273;0;
Mongolia;2250;79;84;294.5;872;72;159;4;5;3;67;0;0;0;554;206;193;346;34;0;2;0;1377;42;9;0;0;956;0;0;15;2;0;5;58;3;56;56;62;90;62;133;131;133;131;120;13;891;2;
Morocco;3070;84;59;550.75;215;46;25;35;4;21;11;17;0;1;81;44;19;21;4;12;0;30;2883;5;11;8;4;1896;0;0;82;18;59;0;75;62;3;3;76;150;76;351;349;350;349;269;88;1387;1;
Netherlands;3440;108;144;428;1042;169;118;43;171;60;104;49;3;4;335;422;202;7;5;29;174;34;2452;175;41;18;3;799;0;12;174;40;16;82;151;16;36;36;152;177;152;496;473;492;473;415;68;717;35;
New Zealand;3200;92;118;442.5;1009;318;74;213;31;38;104;44;4;13;468;121;85;167;17;17;76;139;2189;125;33;27;17;769;0;4;152;15;24;11;114;49;95;95;124;113;124;579;527;566;527;219;94;601;17;
Nigeria;2700;61;63;472.25;86;6;11;2;0;11;4;13;2;0;39;13;10;7;2;7;13;3;2627;84;0;0;0;1253;1;0;84;17;0;142;6;87;284;284;511;1;511;108;104;108;104;334;43;126;0;
Pakistan;2340;59;69;370.75;453;115;27;84;0;7;31;3;2;0;53;265;195;17;6;0;0;8;1863;0;2;1;8;1135;0;0;45;4;0;154;18;66;170;170;26;16;26;264;233;264;233;267;24;871;0;
Paraguay;2530;69;87;367.75;462;76;74;0;1;58;76;8;8;2;185;116;114;2;16;0;83;23;2061;89;0;10;92;732;0;0;66;0;0;11;2;110;119;119;335;258;335;232;226;229;226;360;33;143;4;
Peru;2570;67;48;467.5;333;83;13;1;3;16;18;40;2;0;99;79;72;4;14;23;17;60;2245;58;3;0;12;1033;0;1;135;1;0;28;195;65;495;495;342;91;342;377;359;377;359;137;43;349;1;
Philippines;2450;58;48;446.5;379;42;14;2;2;26;39;61;9;0;220;21;5;1;7;41;173;30;2100;50;1;59;8;1348;59;1;136;1;0;24;1;14;1087;1087;77;16;77;281;260;277;260;107;47;223;0;
Poland;3370;99;112;491.5;890;222;23;89;138;44;110;39;3;0;370;205;53;0;8;27;280;66;2474;147;21;4;4;1185;2;3;60;4;1;36;238;14;16;16;238;74;238;442;437;442;437;284;69;859;4;
Portugal;3750;119;141;501.25;1078;248;89;48;96;38;190;86;1;3;389;296;160;20;19;29;195;79;2667;269;41;23;23;1031;0;5;146;32;122;64;224;37;182;182;226;92;226;309;289;305;289;438;112;750;100;
Romania;3520;109;101;543.75;822;81;35;8;13;51;73;7;1;2;268;400;383;18;13;4;147;65;2759;152;37;6;14;1578;0;2;86;11;1;6;176;20;37;37;176;24;176;257;248;254;248;320;115;1214;42;
Russian Federation;3080;91;83;492.25;700;109;100;57;47;52;38;38;6;2;238;247;191;6;13;22;74;54;2417;164;19;9;0;1175;0;3;60;6;1;0;230;15;49;49;230;27;230;410;403;407;403;250;66;1027;11;
Saint Lucia;2960;95;81;462.75;816;78;35;25;54;11;47;61;0;0;385;193;125;47;86;42;108;193;2157;167;10;114;21;847;122;2;265;13;5;0;30;79;121;121;159;0;159;352;343;351;343;140;37;698;16;
Samoa;2910;84;133;344.25;826;125;39;34;2;13;91;167;0;17;476;36;34;115;7;91;205;115;2093;27;0;134;0;644;88;15;221;0;0;34;7;0;259;259;272;0;272;250;232;233;232;129;6;384;0;
Saudi Arabia;2820;76;82;444.5;429;39;18;29;20;17;8;11;1;2;194;154;113;42;12;5;0;124;2410;0;7;13;2;1343;2;1;221;7;7;228;29;29;300;300;30;5;30;280;272;277;272;376;63;763;0;
Senegal;2310;58;69;364.25;213;14;22;2;1;8;12;54;4;0;75;53;50;15;6;39;8;25;2160;6;0;2;1;1435;0;0;15;7;0;32;7;29;758;758;53;182;53;142;133;141;133;359;38;218;1;
Sierra Leone;1930;44;45;337.25;74;2;5;0;0;5;1;31;5;0;21;12;11;1;1;22;4;7;1869;51;0;0;0;1002;0;0;41;7;0;200;0;110;753;753;240;11;240;39;37;38;37;296;27;157;0;
South Africa;2940;77;76;487;384;15;86;6;9;21;8;14;0;0;231;86;73;19;14;12;32;91;2577;157;7;6;30;1569;2;0;44;4;1;24;50;37;180;180;52;26;52;322;317;322;317;321;36;371;20;
Spain;3410;113;154;393;965;71;50;15;67;50;44;80;3;6;493;259;178;37;9;25;291;103;2455;179;19;15;13;736;18;4;135;48;283;0;140;52;71;71;140;100;140;332;322;325;322;680;96;644;68;
Sri Lanka;2390;54;44;444.5;147;4;7;1;0;8;2;48;3;0;25;59;51;0;2;40;1;15;2268;3;1;0;12;1293;63;0;75;1;0;0;12;80;902;902;53;1;53;320;316;320;316;77;31;344;0;
Sweden;3160;107;125;401.75;1149;247;74;70;188;41;126;86;6;5;335;435;127;6;4;30;201;45;2059;136;20;31;2;789;7;12;111;16;14;2;93;15;54;54;93;43;93;460;437;455;437;328;56;609;32;
Switzerland;3500;96;157;425.75;1190;210;58;112;203;38;95;29;7;12;479;416;182;11;16;6;351;51;2354;184;30;15;2;767;26;8;132;65;31;46;82;12;59;59;82;43;82;572;514;560;514;423;65;661;73;
Tanzania;1960;47;31;373.25;126;11;34;3;0;2;8;16;14;6;49;42;38;5;3;0;4;4;1832;61;0;4;57;997;12;0;49;1;0;59;11;92;154;154;375;3;375;73;64;67;64;131;18;79;0;
Thailand;2410;57;52;428.5;304;14;14;5;0;41;9;61;14;0;152;28;16;0;3;30;93;44;2120;118;0;38;24;1183;14;0;107;5;0;62;7;35;1040;1040;43;57;43;320;314;319;314;151;34;83;0;
Trinidad and Tobago;2770;65;76;456.5;468;80;20;9;45;12;70;24;0;0;164;182;115;9;3;14;44;90;2319;65;5;9;9;997;42;2;86;5;4;0;47;107;237;237;66;206;66;557;530;556;530;307;31;684;1;
Tunisia;3250;89;94;512;352;23;33;15;5;23;7;20;0;2;114;167;145;38;4;14;0;39;2894;3;11;2;7;1625;10;1;114;34;114;52;53;81;18;18;53;267;53;341;336;339;336;474;109;1549;2;
Turkey;3340;96;90;536.5;385;50;14;35;9;39;14;14;1;6;84;194;170;29;2;11;0;40;2942;20;34;3;24;1666;3;0;136;49;15;89;114;103;80;80;114;46;114;238;227;231;227;414;138;1392;0;
Ukraine;3030;84;79;495.75;624;112;70;52;26;46;59;30;2;8;167;256;218;1;10;22;64;28;2430;110;12;2;0;1213;0;1;47;13;0;0;257;21;28;28;257;16;257;417;380;408;380;261;73;947;9;
United Arab Emirates;3220;106;92;492;741;79;37;55;24;44;19;41;1;5;352;215;170;73;7;13;0;217;2497;0;23;3;1;1221;0;2;201;44;19;0;18;90;467;467;18;46;18;388;381;383;381;215;140;751;0;
United Kingdom;3440;104;138;445.5;1056;150;64;66;105;45;78;36;6;3;459;355;222;39;9;13;244;108;2392;193;18;22;1;891;5;2;113;11;19;35;215;40;55;55;215;111;215;400;387;396;387;382;68;772;34;
United States of America;3770;114;156;477.5;1045;116;115;40;149;55;75;28;5;4;451;390;199;3;3;7;132;197;2708;150;19;17;30;832;6;5;117;21;16;0;100;37;94;94;106;492;106;657;320;652;320;606;77;603;13;
Uzbekistan;2270;67;64;356.5;399;17;97;6;6;12;11;0;0;0;131;228;220;23;8;0;6;3;1912;19;19;0;0;1396;0;0;42;4;0;0;54;0;86;86;54;25;54;42;42;42;42;278;62;1255;3;